,smiles,inchi_key,error_type,error_message,1_r1_smiles,1_r2_smiles,1_reaction,hit1,num_placed,num_successful,route_uuid,template,to_hippo,total_num_products_enumstereo,total_num_unique_products,compound_set,hit2,hit3,2_r1_smiles,2_r2_smiles,2_reaction
0,Cc1cccc(NC(=O)NCC(C)O)n1,WXCSLBRGRKDJSX-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cccc(N)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,agKYo2,,,,,,,,,,
1,Cc1cccc(NC(=O)NCC(C)O)n1,WXCSLBRGRKDJSX-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cccc(N)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,Ta8LS7,,,,,,,,,,
0,Cc1cc(NC(=O)NCC(C)O)nn1-c1ccccc1,UIINRFUWBVLBNK-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cc(N)nn1-c1ccccc1,CC(O)CN,Formation_of_urea_from_two_amines,,,,Ut5ab3,,,,,,,,,,
1,Cc1cc(NC(=O)NCC(C)O)nn1-c1ccccc1,UIINRFUWBVLBNK-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cc(N)nn1-c1ccccc1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,75iC2f,,,,,,,,,,
0,O=C1CCCCN1CCCNc1ccnc2ccc([N+](=O)[O-])cc12,FRNXPLHZHRXKEC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=[N+]([O-])c1ccc2nccc(Br)c2c1,NCCCN1CCCCC1=O,Buchwald-Hartwig_amination,,,,rLfefn,,,,,,,,,,
0,Cn1c(=O)n(CCN2CCCC2=O)c(=S)c2ccccc21,KZGPDDSEMZONAM-UHFFFAOYSA-N,,,O=C1CCCN1CCI,Cn1c(=O)[nH]c(=S)c2ccccc21,Nucleophilic_substitution_with_amine,z0309a,302.0,103.0,YcRWwY,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/templates/z0309a_apo-desolv.pdb,/opt/xchem-fragalysis-2/maxwin/RdRp_FFF/syndirella/feb_elabs/elabs_81/KZGPDDSEMZONAM-UHFFFAOYSA-N/KZGPDDSEMZONAM-UHFFFAOYSA-N_YcRWwY_to_hippo.pkl.gz,302.0,80.0,C68384,z1018a,,,,
0,OC1COCC1CNCc1ccn[nH]1,DFFAHRILMAZSJI-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1ccn[nH]1,NCC1COCC1O,Reductive_amination,,,,ghWFZC,,,,,,,,,,
0,Cc1cnccc1NCc1c[nH]cn1,DJVQSQXCKGQNJE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=Cc1c[nH]cn1,Cc1cnccc1N,Reductive_amination,,,,AN7MNb,,,,,,,,,,
0,CC(NC(=O)c1ccnc(-n2cccc2)c1)c1ncc[nH]1,DNLUSRYLIQAQAE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1ccnc(-n2cccc2)c1,CC(N)c1ncc[nH]1,Amidation,,,,aw7nXx,,,,,,,,,,
0,CC(CN1CCCC1=O)NC(=O)c1cccc2ncccc12,XZCHKOUIHXKRTC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cccc2ncccc12,CC(N)CN1CCCC1=O,Amidation,,,,EGu2DR,,,,,,,,,,
0,O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,LQQWCINYCCMFRV-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,NCCc1cc2ccccc2o1,CCOC(=O)Cc1noc2ccccc12,Ester_amidation,,,,wtvP8k,,,,,,,,,,
1,O=C(Cc1noc2ccccc12)NCCc1cc2ccccc2o1,LQQWCINYCCMFRV-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Amidation.,O[C:1](Cc1noc2ccccc12)=[O:2],NCCc1cc2ccccc2o1,Amidation,,,,SdULVG,,,,,,,,,,
0,CC(C)(CO)NC(=O)c1csc(-c2ccsc2)n1,IQFFGYDSWILZBZ-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r2 in Amidation.,O=C(O)c1csc(-c2ccsc2)n1,CC(C)(N)CO,Amidation,,,,6ryRH7,,,,,,,,,,
0,O=C(Nc1cccnc1C1CC1)c1cn[nH]c1,OUADHXQUGPVFPL-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)c1cn[nH]c1,Nc1cccnc1C1CC1,Amidation,,,,c6J5dg,,,,,,,,,,
0,CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,PGVYGILCFWWCGJ-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1cccc2[nH]ccc12,CC(N)C(O)C(F)F,Formation_of_urea_from_two_amines,,,,sG8BiJ,,,,,,,,,,
1,CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,PGVYGILCFWWCGJ-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(C(O)C(F)F)[NH:1]C(=O)n1ccnc1,Nc1cccc2[nH]ccc12,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,3D4pRX,,,,,,,,,,
0,Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,OHJDLUXFTXKBRG-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cc1cc(N)nn1CC(F)(F)F,CC(O)CN,Formation_of_urea_from_two_amines,,,,WNiijS,,,,,,,,,,
1,Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,OHJDLUXFTXKBRG-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cc1cc(N)nn1CC(F)(F)F,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,vn7Qme,,,,,,,,,,
0,O=C(Nc1ccn(Cc2cccnc2)c1)C1CCCO1,YJAMHEONGYOGKE-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,ICc1cccnc1,Brc1cc[nH]c1,Nucleophilic_substitution_with_amine,,,,YnQcFi,,,,,,,,NC(=O)C1CCCO1,Brc1ccn(Cc2cccnc2)c1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile
0,O=C1CCCN1C1CCN(c2c(Br)cnc3ccccc23)C1,JQYMVSWSAPDAIV-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C1CCCN1C1CCNC1,Brc1cnc2ccccc2c1Br,N-nucleophilic_aromatic_substitution,,,,nY2nkd,,,,,,,,,,
0,O=C(Nc1cccc2c1OCCC2)NC(CCO)C(F)(F)F,IANQXEAOAZTNLW-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1cccc2c1OCCC2,NC(CCO)C(F)(F)F,Formation_of_urea_from_two_amines,,,,69BxJp,,,,,,,,,,
1,O=C(Nc1cccc2c1OCCC2)NC(CCO)C(F)(F)F,IANQXEAOAZTNLW-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,O=C(n1ccnc1)[NH:1]C(CCO)C(F)(F)F,Nc1cccc2c1OCCC2,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,pfrwZ7,,,,,,,,,,
0,CC(O)CNC(=O)Nc1cc(-c2ccsc2)nn1C,WXJNUXZTXDROIJ-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Cn1nc(-c2ccsc2)cc1N,CC(O)CN,Formation_of_urea_from_two_amines,,,,32i9ua,,,,,,,,,,
1,CC(O)CNC(=O)Nc1cc(-c2ccsc2)nn1C,WXJNUXZTXDROIJ-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,Cn1nc(-c2ccsc2)cc1N,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,mQsSi8,,,,,,,,,,
0,COCCCn1ccc(NC(=O)NCC(C)O)n1,VEAPMNAYWNOMRJ-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,COCCCn1ccc(N)n1,CC(O)CN,Formation_of_urea_from_two_amines,,,,Z9ariA,,,,,,,,,,
1,COCCCn1ccc(NC(=O)NCC(C)O)n1,VEAPMNAYWNOMRJ-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,COCCCn1ccc(N)n1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,6yQU5j,,,,,,,,,,
0,COc1ccc2cccnc2c1CNC(=O)CCN1CCCC1=O,GNOBTQCXYBMFAB-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)CCN1CCCC1=O,COc1ccc2cccnc2c1CN,Amidation,,,,qy7RYX,,,,,,,,,,
0,CC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,UKWFLRZSMSDWTC-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CC1(C)CCc2cccc(N)c2O1,CC(O)CN,Formation_of_urea_from_two_amines,,,,cDNLqY,,,,,,,,,,
1,CC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,UKWFLRZSMSDWTC-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,CC1(C)CCc2cccc(N)c2O1,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,WDShFP,,,,,,,,,,
0,c1ccc(N2CCOc3ccccc3C2)nc1,ZLBFYANSAYZPQU-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,c1ccc2c(c1)CNCCO2,OB(O)c1ccccn1,Chan-Lam_coupling_(amination),,,,7ti4bZ,,,,,,,,,,
0,COC(=O)c1cc(NC(=O)NCC(C)O)nn1C,WVGFLLFSIMGYJN-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,COC(=O)c1cc(N)nn1C,CC(O)CN,Formation_of_urea_from_two_amines,,,,4Ya77b,,,,,,,,,,
1,COC(=O)c1cc(NC(=O)NCC(C)O)nn1C,WVGFLLFSIMGYJN-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,COC(=O)c1cc(N)nn1C,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,SJz54x,,,,,,,,,,
0,CCC(C)n1ncc(NC(=O)NCC(C)O)c1C,NQDDIJLQMDSXML-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,CCC(C)n1ncc(N)c1C,CC(O)CN,Formation_of_urea_from_two_amines,,,,Bt4vqz,,,,,,,,,,
1,CCC(C)n1ncc(NC(=O)NCC(C)O)c1C,NQDDIJLQMDSXML-UHFFFAOYSA-N,APIQueryError,API superstructure query failed for step 1 reactant r1 in Formation_of_urea_by_displacement_of_imidazole_by_amine.,CC(O)C[NH:1]C(=O)n1ccnc1,CCC(C)n1ncc(N)c1C,Formation_of_urea_by_displacement_of_imidazole_by_amine,,,,SSnCif,,,,,,,,,,
0,Cc1cnccc1NC(=O)Cc1coc2ccccc12,DEGPAYOEPZCOBR-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,O=C(O)Cc1coc2ccccc12,Cc1cnccc1N,Amidation,,,,mMjsGL,,,,,,,,,,
0,Cc1nc(CNc2nccc3ccccc23)cs1,QYRRPPSGQNMPRP-UHFFFAOYSA-N,TypeError,'NoneType' object is not iterable,Nc1nccc2ccccc12,Cc1nc(C=O)cs1,Reductive_amination,,,,tcTLxA,,,,,,,,,,
